tmdb_id,title,release_date,revenue,popularity,vote_average,genre_ids,is_lgbt
35552,The Extraordinary Adventures of Adèle Blanc-Sec,2010-04-09,34604339,4.7185,6.247,"[14, 12, 28, 9648]",0
73509,Bakhit and Bakhita,2010-03-05,34000000,0.0566,6.0,[35],0
42949,Arthur 3: The War of the Two Worlds,2010-08-22,33885979,2.9035,5.8,"[16, 12, 14, 10751]",0
44040,Devil,2010-09-16,33583175,2.4848,6.098,"[27, 9648, 53]",0
60604,Dogwood Tree,2010-08-21,33020000,0.5394,7.467,"[10749, 18]",0
25195,Leap Year,2010-01-08,32686500,4.558,6.898,"[10749, 35]",0
38303,You Again,2010-09-23,32054369,1.9776,6.281,"[35, 10749]",0
38843,Ramona and Beezus,2010-07-23,27293743,1.8102,6.548,"[35, 10751]",0
38363,Fair Game,2010-05-20,25806953,2.3097,6.45,"[18, 53]",0
41411,The Round Up,2010-03-10,25346148,2.1583,7.539,"[18, 36, 10752]",0
45958,Biutiful,2010-10-20,25147786,4.2529,7.3,[18],0
57809,Six Degrees of Celebration,2010-12-12,25030264,0.7213,6.375,[35],0
41382,Lottery Ticket,2010-08-20,24719879,1.2598,5.633,[35],0
50461,Liar Game: The Final Stage,2010-03-06,24658706,1.4851,7.5,"[53, 18, 10770, 9648]",0
49009,The Way Back,2010-11-22,24172201,3.159,7.0,"[18, 12, 36]",0
41402,Let Me In,2010-10-01,24145613,4.5462,6.792,"[18, 27, 9648]",0
34813,The Losers,2010-04-23,23580000,3.7779,6.25,"[28, 12, 80, 9648, 53]",0
41283,Faster,2010-11-23,23081726,4.2913,6.347,"[80, 18, 28, 53]",0
32926,Recep Ivedik 3,2010-02-12,22588876,0.676,4.6,[35],0
31059,Our Russia: Eggs of Destiny,2010-01-20,22212223,0.3638,4.642,[35],0
36298,"Me, Them and Lara",2010-01-05,22039646,0.3852,5.587,"[35, 18]",0
38093,Just Wright,2010-05-14,21520719,1.901,6.5,"[10749, 35]",0
43931,My Soul to Take,2010-10-08,21500813,1.2063,5.475,"[27, 9648]",0
34563,Our Family Wedding,2010-03-12,21409028,1.1493,5.6,[35],0
51200,71: Into the Fire,2010-06-16,20967660,1.8501,7.5,[10752],0
8952,I Love You Phillip Morris,2010-02-04,20768906,2.3144,6.418,"[35, 80, 18, 10749]",1
45272,Country Strong,2010-12-22,20601987,1.0873,6.1,"[18, 10749, 10402]",0
52939,Three Heroes and the Shamakhan Queen,2010-12-29,20157447,0.5746,6.3,"[16, 10751, 35, 12]",0
69597,Aayirathil Oruvan,2010-01-14,20000000,0.6814,6.6,"[28, 12]",0
44978,Golmaal 3,2010-11-05,20000000,0.5347,5.6,"[35, 10751]",0
60556,Natale in Sudafrica,2010-12-20,19640073,0.6193,4.412,[35],0
36970,Oceans,2010-01-22,19406406,1.2582,7.437,"[99, 10751]",0
26388,Buried,2010-09-24,19152480,3.8629,6.635,"[18, 53, 9648]",0
62156,Head Over Heels,2010-12-31,18876082,0.4249,6.4,[35],0
31867,Repo Men,2010-03-18,18409891,6.4989,6.32,"[28, 878, 53, 80]",0
41592,StreetDance 3D,2010-05-19,18144030,4.4263,6.5,"[10402, 10749, 18]",0
44009,Another Year,2010-11-05,18124262,1.9486,7.0,"[18, 35]",0
57703,Norwegian Wood,2010-09-30,17636261,1.7925,6.388,"[18, 10749]",0
58857,13 Assassins,2010-09-25,17555141,3.765,7.327,"[12, 18, 28]",0
53457,Sarah's Key,2010-09-16,17511906,2.1965,7.285,"[18, 10752]",0
49852,The Nutcracker,2010-11-24,17177993,1.5271,5.0,"[10402, 14, 10751, 12]",0
200566,Tensou Sentai Goseiger: Epic on The Movie,2010-08-07,16704506,0.7682,5.1,"[28, 12, 878, 14]",0
70829,The Last Godfather,2010-12-29,16700000,1.0247,3.975,"[35, 80, 10749]",0
50723,Naruto Shippuden the Movie: The Lost Tower,2010-07-31,16537336,6.4135,7.172,"[12, 28, 16]",0
43930,"Tomorrow, When the War Began",2010-08-08,16533595,1.6788,6.1,"[28, 12, 18]",0
34134,Barbie in A Mermaid Tale,2010-01-25,16441438,2.7197,7.2,"[16, 10751, 14]",0
46705,Blue Valentine,2010-12-26,15440333,4.3726,6.96,"[18, 10749]",0
38407,Shanghai,2010-06-10,15302850,1.4159,6.104,"[18, 53, 9648]",0
34586,Kandahar,2010-02-04,15172408,0.5399,6.2,[18],0
27569,Extraordinary Measures,2010-01-21,15134293,2.8149,6.285,[18],0
58051,Housefull,2010-04-30,15000000,0.8694,5.717,"[35, 10749]",0
39210,Somewhere,2010-09-03,14788642,1.8213,6.08,[18],0
63465,Petty Romance,2010-12-01,14244325,0.8533,6.2,"[35, 10749]",0
59468,The Way,2010-09-10,13900000,2.2453,7.127,"[12, 35, 18]",0
44263,City Under Siege,2010-08-11,13851432,1.7064,5.0,"[878, 28, 53]",0
39013,Winter's Bone,2010-06-11,13831503,3.4585,6.789,"[18, 9648]",0
28211,Chloe,2010-02-25,13657649,3.7393,6.122,"[18, 53, 9648]",0
48748,Klown,2010-12-16,13273759,0.314,6.496,[35],0
44716,In a Better World,2010-08-26,13004198,1.8498,7.112,[18],0
49797,I Saw the Devil,2010-08-12,12966357,6.7994,7.79,"[53, 27]",0
52274,Julia's Eyes,2010-08-16,12884923,1.3834,6.7,"[27, 53]",0
117352,Crayon Shin-chan: Super-Dimension! The Storm Called My Bride,2010-04-17,12876220,1.8048,7.7,"[16, 35, 10751]",0
46138,Made in Dagenham,2010-10-01,12629471,1.4297,6.7,"[35, 18, 36]",0
38961,Tamara Drewe,2010-07-14,12037973,0.9765,5.874,"[35, 10749]",0
210286,Super Kamen Rider Den-O Trilogy - Episode Red: Zero's Star Twinkle,2010-05-22,12018591,0.7205,5.3,"[28, 12, 878]",0
41110,I Am Love,2010-03-19,12014663,1.256,6.8,"[18, 10749]",0
35428,What Men Talk About,2010-03-04,12005838,0.442,7.211,[35],0
210290,Super Kamen Rider Den-O Trilogy - Episode Blue: The Dispatched Imagin is Newtral,2010-06-05,12002684,0.788,5.6,"[28, 12, 878]",0
40777,I Hate Luv Storys,2010-06-30,12000000,0.4316,5.9,"[35, 18, 10749]",0
37941,Vinnaithaandi Varuvaayaa,2010-02-26,12000000,0.3948,7.6,"[18, 10749]",0
210291,Super Kamen Rider Den-O Trilogy - Episode Yellow: Treasure de End Pirates,2010-06-19,11986479,0.6406,5.2,"[28, 12, 878]",0
45094,Conviction,2010-10-15,11826980,1.3949,7.07,[18],0
74658,Winx Club - Magic Adventure,2010-10-29,11583758,1.1564,7.2,"[16, 10751]",0
46528,The Warrior's Way,2010-12-01,11100000,3.3288,6.6,"[12, 14, 28, 37, 53]",0
44155,The Italian,2010-07-07,11081555,0.3554,5.2,[35],0
573531,Halo Legends,2010-02-16,11000000,1.8778,7.4,"[16, 10752, 28, 878]",0
20533,Jonah Hex,2010-06-18,10539000,3.4557,4.958,"[37, 14, 53]",0
44718,Get Low,2010-07-30,10522511,1.6295,6.722,"[18, 9648, 35]",0
71172,Gintama: The Movie,2010-04-24,10453259,1.8721,7.4,"[28, 35, 878, 16]",0
47812,Love and the City 2,2010-02-25,10198357,0.7047,5.9,"[35, 10749]",0
63812,Thillalangadi,2010-07-23,10000000,0.4975,4.8,"[35, 28, 18]",0
55890,Bereavement,2010-07-16,10000000,0.9595,5.3,"[80, 27]",0
55790,Milaga,2010-10-10,10000000,0.1831,5.2,"[10749, 35]",0
55737,Chikku Bukku,2010-12-03,10000000,0.2022,4.0,"[10749, 18]",0
44565,Khatta Meetha,2010-07-23,10000000,0.8602,5.7,"[35, 18]",0
47261,Carancho,2010-05-06,9961838,0.3683,6.713,"[53, 18, 10749]",0
42188,Never Let Me Go,2010-03-18,9918093,3.3141,6.843,"[18, 10749, 878]",0
39053,Cyrus,2010-06-18,9900000,5.1144,5.9,"[35, 18, 10749]",0
138853,Ghost,2010-11-13,9833553,0.5476,5.2,"[9648, 18, 14]",0
62756,Singam,2010-05-28,9700000,0.7369,6.8,"[28, 35, 80]",0
54456,Raavanan,2010-06-18,9700000,0.7465,7.0,"[28, 12, 80]",0
61404,Point Blank,2010-11-08,9487445,1.0959,6.616,"[28, 53, 80]",0
44113,Stone,2010-10-07,9479718,4.6727,5.293,"[18, 53, 28, 9648]",0
37931,MacGruber,2010-05-21,9322895,7.4864,5.411,"[28, 35]",0
39356,Boy,2010-03-25,9116968,1.1918,7.298,"[18, 35]",0
97342,Vedam,2010-06-04,9000000,0.3603,7.2,"[18, 53]",0
45535,Fatal,2010-06-16,8929413,0.6867,5.976,[35],0
